2,9.140546871924316e-08
3,9.775352709799523e-08
4,1.0478027929595696e-07
5,1.1224241384767309e-07
6,1.1996816344273212e-07
7,1.2783467682005296e-07
8,1.3574911786763248e-07
9,1.4364167518903416e-07
10,1.514611484410949e-07
11,1.5916809104247357e-07
12,1.6673148107764585e-07
13,1.7412861333773857e-07
14,1.813437366632477e-07
15,1.883651314340107e-07
16,1.9518311367731216e-07
17,2.0178997627614862e-07
18,2.081807650226556e-07
19,2.1435342811868825e-07
20,2.203079150633905e-07
21,2.2604489109843742e-07
22,2.3156497940412418e-07
23,2.3686888056764542e-07
24,2.419579992562614e-07
25,2.468349217892199e-07
26,2.515033359760022e-07
27,2.559674544628661e-07
28,2.6023132342812627e-07
29,2.6429840822954254e-07
30,2.6817162632806705e-07
31,2.718537342464073e-07
32,2.7534782067992417e-07
33,2.786576577072164e-07
34,2.81787771545548e-07
35,2.847432333213865e-07
36,2.8752927325399224e-07
37,2.901508603372533e-07
38,2.926123706325689e-07
39,2.949174159118217e-07
40,2.970688477610938e-07
41,2.990689089517621e-07
42,3.009194810407199e-07
43,3.026223728806578e-07
44,3.0417960255346123e-07
45,3.055936382135695e-07
46,3.0686757635758114e-07
47,3.0800524661659825e-07
48,3.090112399000182e-07
49,3.098908623507514e-07
50,3.106500220856692e-07
51,3.1129505973476954e-07
52,3.1183253746851144e-07
53,3.1226900419109324e-07
54,3.126107563637134e-07
55,3.128636140569142e-07
56,3.130327301125626e-07
57,3.131224468411127e-07
58,3.131362098978428e-07
59,3.130765434778819e-07
60,3.1294508541958446e-07
61,3.127426758351912e-07
62,3.1246948898247377e-07
63,3.1212519554573715e-07
64,3.117091414017047e-07
65,3.1122052921764206e-07
66,3.1065859064060257e-07
67,3.10022739078548e-07
68,3.0931269580508554e-07
69,3.085285850115207e-07
70,3.076709962009597e-07
71,3.0674101475379657e-07
72,3.0574022345087945e-07
73,3.046706791508069e-07
74,3.035348696747323e-07
75,3.0233565629838875e-07
76,3.0107620716323796e-07
77,2.997599264921782e-07
78,2.983903838316881e-07
79,2.969712467390866e-07
80,2.955062194768504e-07
81,2.9399898943605235e-07
82,2.924531822408237e-07
83,2.908723258207975e-07
84,2.892598231984375e-07
85,2.8761893332937493e-07
86,2.859527590522964e-07
87,2.842642410390108e-07
88,2.8255615656877515e-07
89,2.8083112196510214e-07
90,2.790915976089217e-07
91,2.773398945608502e-07
92,2.7557818197102396e-07
93,2.7380849461347e-07
94,2.7203274004198596e-07
95,2.7025270501724283e-07
96,2.68470060994072e-07
97,2.666863685795392e-07
98,2.649030809741686e-07
99,2.631215464897569e-07
100,2.613430102979229e-07
110,2.4392478533968453e-07
120,2.2747388483613615e-07
130,2.1201441651252067e-07
140,1.97633266824177e-07
150,1.8475812596777087e-07
160,1.7380950726573878e-07
170,1.6483377606925277e-07
180,1.5751754815873598e-07
190,1.5141608817853783e-07
200,1.461209554354618e-07
210,1.4130223295327213e-07
220,1.3669835428523237e-07
230,1.321115230712631e-07
240,1.2741165946063416e-07
250,1.2253314066385192e-07
260,1.1746074123075759e-07
270,1.122137425565031e-07
280,1.0683686613319107e-07
290,1.0139866905956369e-07
300,9.599165427762697e-08
310,9.072778367379998e-08
320,8.572687853156538e-08
330,8.10999607741477e-08
340,7.693226120521312e-08
350,7.327067236326545e-08
360,7.011859242536534e-08
370,6.743864482182286e-08
380,6.516170150353695e-08
390,6.319950449004634e-08
400,6.145800592569179e-08
410,5.984907303340679e-08
420,5.8299078223543334e-08
430,5.675380664607766e-08
440,5.51798604510414e-08
450,5.356322995167243e-08
460,5.190593273097554e-08
470,5.0221640597625296e-08
480,4.8531090278929626e-08
490,4.68578750457141e-08
500,4.52249963063754e-08
