2	8.718467839701188e-9
3	2.6467308182272646e-9
4	1.0971213402116811e-9
5	5.431597832036702e-10
6	3.0189794158157335e-10
7	1.8208733894226665e-10
8	1.1672320416836406e-10
9	7.844345837144358e-11
10	5.474634089664429e-11
11	3.940656500929397e-11
12	2.910473592242212e-11
13	2.197007241509407e-11
14	1.689759158514211e-11
15	1.3209093215936538e-11
16	1.047383378242585e-11
17	8.410233145768623e-12
18	6.829382635860859e-12
19	5.601692519272956e-12
20	4.636505267592707e-12
21	3.869283503899994e-12
22	3.2532339720394828e-12
23	2.7540352414371115e-12
24	2.3461113345678555e-12
25	2.010202238828097e-12
26	1.7316281542709812e-12
27	1.4990789687121701e-12
28	1.3037691584465554e-12
29	1.1388028849754383e-12
30	9.987220296622557e-13
31	8.791879699409857e-13
32	7.767069005273552e-13
33	6.884664521802803e-13
34	6.121689793208202e-13
35	5.459472863589609e-13
36	4.882593840266604e-13
37	4.378304498035617e-13
38	3.9360299847028513e-13
39	3.5469478774043194e-13
40	3.2036367412453626e-13
41	2.899849702065321e-13
42	2.6303383101508604e-13
43	2.3906113948597406e-13
44	2.176860136997067e-13
45	1.985832178149176e-13
46	1.814718751397244e-13
47	1.6611239731126255e-13
48	1.5229694706759086e-13
49	1.3984588672358074e-13
50	1.2860321457270024e-13
51	1.1843307366876588e-13
52	1.0921734905978075e-13
53	1.0085175968409344e-13
54	9.324619705294176e-14
55	8.632046557640994e-14
56	8.000425717231458e-14
57	7.423555771045683e-14
58	6.895942213168486e-14
59	6.412732993425963e-14
60	5.969596432157909e-14
61	5.5626918157453896e-14
62	5.1885966643104137e-14
63	4.844252319490678e-14
64	4.526911592459243e-14
65	4.234149497772399e-14
66	3.963759250058464e-14
67	3.713766717855072e-14
68	3.482393793717965e-14
69	3.268043223750666e-14
70	3.069271541855419e-14
71	2.884771417009356e-14
72	2.7133554711437944e-14
73	2.5539557970433138e-14
74	2.4055998421500996e-14
75	2.26740888449188e-14
76	2.1385789366374758e-14
77	2.0183783506519998e-14
78	1.906141101730403e-14
79	1.8012587817535474e-14
80	1.703173705595482e-14
81	1.6113817460362587e-14
82	1.525417374172148e-14
83	1.4448538775861493e-14
84	1.3693005775112639e-14
85	1.2984006649627664e-14
86	1.2318206414925636e-14
87	1.1692576179845401e-14
88	1.1104349391015782e-14
89	1.0550939916620567e-14
90	1.0029977173626107e-14
91	9.539272060775534e-15
92	9.076801989502094e-15
93	8.64069971838196e-15
94	8.229232390801113e-15
95	7.8408014890719e-15
96	7.473922880430891e-15
97	7.12722149647621e-15
98	6.799421310776052e-15
99	6.48933600256756e-15
100	6.195866275788317e-15
101	5.917990938596631e-15
102	5.65475734815578e-15
103	5.405274610193894e-15
104	5.168721875894839e-15
105	4.9443263344306415e-15
106	4.731375514104401e-15
107	4.529192987569667e-15
108	4.337151972214295e-15
109	4.1546762883154386e-15
110	3.9812144724049354e-15
111	3.81626064057319e-15
112	3.659325821477714e-15
113	3.509965937587026e-15
114	3.3677586539257185e-15
115	3.232319929535357e-15
116	3.1032752726040293e-15
117	2.980278214386736e-15
118	2.8630046749428464e-15
119	2.7511467099926067e-15
120	2.6444206949501546e-15
121	2.5425535544022e-15
122	2.4452907984398357e-15
123	2.352394919506341e-15
124	2.2636410307004663e-15
125	2.1788171276581424e-15
126	2.097723866583176e-15
127	2.0201726826984732e-15
128	1.945986266956136e-15
129	1.8749970177465786e-15
130	1.8070472302763866e-15
131	1.741987121136772e-15
132	1.6796763515169221e-15
133	1.6199811416039046e-15
134	1.5627753979575129e-15
135	1.5079403531087333e-15
136	1.4553633520435081e-15
137	1.40493760325453e-15
138	1.3565622722228691e-15
139	1.3101418489535798e-15
140	1.2655855370636847e-15
141	1.2228075188958731e-15
142	1.1817265903638789e-15
143	1.1422652116661176e-15
144	1.1043499295698214e-15
145	1.06791252433244e-15
146	1.032886218793108e-15
147	9.992082845173732e-16
148	9.668194225012252e-16
149	9.35662979957971e-16
150	9.056852034340407e-16
151	8.768349749139034e-16
152	8.490635372879338e-16
153	8.223249313048099e-16
154	7.965750051523448e-16
155	7.717718284484316e-16
156	7.478754492662831e-16
157	7.248479506141546e-16
158	7.026531236802516e-16
159	6.812564494371235e-16
160	6.606250362554161e-16
161	6.407274525312091e-16
162	6.21533813520191e-16
163	6.030158236009761e-16
164	5.85145690417749e-16
165	5.678984159154939e-16
166	5.512476827561251e-16
167	5.351705390988458e-16
168	5.196443414570789e-16
169	5.046473523185825e-16
170	4.901589838331357e-16
171	4.761594142587169e-16
172	4.626288888581907e-16
173	4.495497754682733e-16
174	4.26234259103452e-16
175	3.5957035716925663e-16
176	3.495349006018905e-16
177	3.398276200848951e-16
178	3.3043622896729123e-16
179	3.2134885043610474e-16
180	3.12554309178417e-16
181	3.0404183376822e-16
182	2.958009824818493e-16
183	2.8782187633783046e-16
184	2.8009499794041697e-16
185	2.7261121742602224e-16
186	2.653617872420042e-16
187	2.583383066146649e-16
188	2.515326932302708e-16
189	2.4493721988506987e-16
190	2.38544453827366e-16
191	2.3234726167897785e-16
192	2.2633879474829836e-16
193	2.2051246521241377e-16
194	2.1486198598908583e-16
195	2.0938122641169488e-16
196	2.04064352240791e-16
197	1.989057638079386e-16
198	1.9390006077334825e-16
199	1.8904205471154945e-16
200	1.843267500258798e-16
201	1.7974935075243435e-16
202	1.7530524435405794e-16
203	1.709899589590303e-16
204	1.667992272402892e-16
205	1.6272893131791573e-16
206	1.58775110439654e-16
207	1.5493393210036232e-16
208	1.512017279274097e-16
209	1.475749471257465e-16
